plant_community_code,analysis_name,prominence_value,constancy_percent
AP-LM-A,Achillea_millefolium,0.23,37.04
AP-LM-A,Agrostis_scabra,0.04,25.93
AP-LM-A,Artemisia_frigida,2.92,70.37
AP-LM-A,Artemisia_ludoviciana,0.37,37.04
AP-LM-A,Campanula_rotundifolia,0.05,25.93
AP-LM-A,Carex,7.32,100
AP-LM-A,Cerastium_arvense,0.09,33.33
AP-LM-A,Elymus_lanceolatus,10.54,74.07
AP-LM-A,Elymus_trachycaulus,1.72,44.44
AP-LM-A,Festuca_hallii,37.82,100
AP-LM-A,Festuca_saximontana,0.1,33.33
AP-LM-A,Fragaria_virginiana,0.17,29.63
AP-LM-A,Galium_boreale,0.04,22.22
AP-LM-A,Geum_triflorum,0.77,40.74
AP-LM-A,Helictochloa_hookeri,1.02,51.85
AP-LM-A,Hesperostipa_curtiseta,9.37,85.19
AP-LM-A,Koeleria_macrantha,2.18,77.78
AP-LM-A,Muhlenbergia_richardsonis,1.54,22.22
AP-LM-A,Oxytropis_campestris,0.05,29.63
AP-LM-A,Pascopyrum_smithii,0.99,37.04
AP-LM-A,Poa_pratensis,1.25,37.04
AP-LM-A,Pulsatilla_patens,0.89,37.04
AP-LM-A,Symphyotrichum_ericoides,0.24,29.63
AP-LM-A,Symphyotrichum_laeve,0.03,22.22
AP-LM-A,Taraxacum_officinale,0.02,22.22
AP-LM-A,Thermopsis_rhombifolia,0.25,25.93
AP-LM-A,Vicia_americana,0.11,40.74
CPA11,Androsace_septentrionalis,0.55,100
CPA11,Antennaria_parvifolia,0.14,50
CPA11,Artemisia_frigida,3.6,100
CPA11,Bouteloua_gracilis,4.85,100
CPA11,Campanula_rotundifolia,0.71,50
CPA11,Carex_filifolia,18.75,100
CPA11,Carex_obtusata,0.57,50
CPA11,Cerastium_arvense,0.85,50
CPA11,Comandra_umbellata,0.35,50
CPA11,Distichlis_spicata,0.21,50
CPA11,Elymus_lanceolatus,3.39,50
CPA11,Equisetum_hyemale,0.14,50
CPA11,Festuca_hallii,0.9,100
CPA11,Festuca_saximontana,0.75,100
CPA11,Grindelia_squarrosa,0.2,100
CPA11,Hackelia_floribunda,0.78,50
CPA11,Hedysarum_boreale,0.28,50
CPA11,Hesperostipa_comata,14.35,100
CPA11,Heuchera_richardsonii,0.2,100
CPA11,Juncus_balticus,1,100
CPA11,Koeleria_macrantha,4.35,100
CPA11,Lepidium_densiflorum,0.25,100
CPA11,Opuntia_polyacantha,0.14,50
CPA11,Pascopyrum_smithii,0.14,50
CPA11,Penstemon_procerus,0.28,50
CPA11,Poa_pratensis,8.84,50
CPA11,Potentilla_anserina,0.25,100
CPA11,Rosa_arkansana,3.9,100
CPA11,Selaginella_densa,4.65,100
CPA11,Solidago_missouriensis,0.28,50
CPA11,Spiraea_alba,9.19,50
CPA11,Sporobolus_hookerianus,3.35,100
CPA11,Symphoricarpos_occidentalis,3.68,50
CPA25,Achillea_millefolium,1.47,73.3
CPA25,Antennaria_parvifolia,1.39,35.6
CPA25,Artemisia_frigida,4.29,88.9
CPA25,Artemisia_ludoviciana,1.52,66.7
CPA25,Bouteloua_gracilis,4.29,55.6
CPA25,Campanula_rotundifolia,0.58,62.2
CPA25,Carex_filifolia,1,28.9
CPA25,Carex_obtusata,1.37,77.8
CPA25,Carex_pensylvanica,2.91,82.2
CPA25,Cerastium_arvense,1.42,77.8
CPA25,Elymus_lanceolatus,1.03,37.8
CPA25,Elymus_trachycaulus,3.39,100
CPA25,Erigeron_caespitosus,1.27,53.3
CPA25,Festuca_hallii,44.1,100
CPA25,Festuca_saximontana,0.49,48.9
CPA25,Galium_boreale,0.95,42.2
CPA25,Helictochloa_hookeri,1,64.4
CPA25,Hesperostipa_curtiseta,8.84,100
CPA25,Koeleria_macrantha,5.3,75.6
CPA25,Muhlenbergia_cuspidata,1.11,31.1
CPA25,Pascopyrum_smithii,1.51,37.8
CPA25,Poa_interior,0.51,28.9
CPA25,Poa_pratensis,4.21,68.9
CPA25,Pulsatilla_patens,0.98,40
CPA25,Rosa_arkansana,2.35,86.7
CPA25,Salix_bebbiana,0.57,22.2
CPA25,Salix_petiolaris,1.28,28.9
CPA25,Solidago_missouriensis,0.29,22.2
CPA25,Solidago_simplex,0.59,22.2
CPA25,Symphoricarpos_occidentalis,8.28,84.4
CPA25,Symphyotrichum_falcatum,2.71,88.9
CPA25,Symphyotrichum_laeve,2.24,57.8
CPA25,Thermopsis_rhombifolia,0.77,35.6
CPA25,Vicia_americana,0.43,42.2
CPA3,Achillea_millefolium,1.15,68.1
CPA3,Agrostis_scabra,0.28,25.5
CPA3,Antennaria_parvifolia,1.01,25.5
CPA3,Artemisia_campestris,0.63,23.4
CPA3,Artemisia_frigida,5.01,91.5
CPA3,Artemisia_ludoviciana,1.26,70.2
CPA3,Astragalus_agrestis,0.38,29.8
CPA3,Bouteloua_gracilis,0.95,36.2
CPA3,Campanula_rotundifolia,0.2,66
CPA3,Carex,11.28,95.7
CPA3,Cerastium_arvense,0.65,42.6
CPA3,Comandra_umbellata,0.7,51.1
CPA3,Elaeagnus_commutata,2.54,38.3
CPA3,Elymus_trachycaulus,1.65,68.1
CPA3,Equisetum_hyemale,0.21,27.7
CPA3,Festuca_hallii,23.31,100
CPA3,Festuca_saximontana,1.06,36.2
CPA3,Galium_boreale,0.94,34
CPA3,Geum_triflorum,1.23,27.7
CPA3,Helictochloa_hookeri,1.98,63.8
CPA3,Hesperostipa_comata,1.77,21.3
CPA3,Hesperostipa_curtiseta,10.64,97.9
CPA3,Heterotheca_villosa,0.91,44.7
CPA3,Koeleria_macrantha,1.76,83
CPA3,Poa_pratensis,0.84,34
CPA3,Pulsatilla_patens,2.91,42.6
CPA3,Rosa_woodsii,2.31,44.7
CPA3,Solidago_missouriensis,1.28,83
CPA3,Sporobolus_rigidus,1.31,44.7
CPA3,Symphoricarpos_occidentalis,2.35,42.6
CPA3,Thermopsis_rhombifolia,0.91,55.3
CPA3,Vicia_americana,0.71,36.2
CPA34,Agrostis_scabra,0.21,50
CPA34,Anemone_multifida,2.25,100
CPA34,Artemisia_frigida,16.7,100
CPA34,Astragalus_bisulcatus,0.35,100
CPA34,Bouteloua_gracilis,12.9,100
CPA34,Carex_filifolia,13.75,100
CPA34,Comandra_umbellata,2.05,50
CPA34,Dalea_purpurea,0.85,50
CPA34,Elymus_lanceolatus,1.35,100
CPA34,Festuca_hallii,8.35,100
CPA34,Gutierrezia_sarothrae,1.2,100
CPA34,Helictochloa_hookeri,0.21,50
CPA34,Hesperostipa_curtiseta,9.75,100
CPA34,Heterotheca_villosa,0.71,50
CPA34,Koeleria_macrantha,2.3,100
CPA34,Pascopyrum_smithii,0.35,50
CPA34,Penstemon_procerus,2.19,50
CPA34,Poa_interior,0.57,50
CPA34,Poa_secunda,0.21,50
CPA34,Rosa_arkansana,0.07,50
CPA34,Solidago_missouriensis,0.1,100
CPA34,Sphaeralcea_coccinea,0.57,50
CPA34,Symphoricarpos_occidentalis,0.14,50
CPA34,Symphyotrichum_falcatum,0.14,50
CPA34,Thermopsis_rhombifolia,1.63,50
CPA49,Achillea_millefolium,0.42,51.3
CPA49,Agrostis_scabra,0.16,33.3
CPA49,Androsace_septentrionalis,0.18,48.7
CPA49,Anemone_multifida,0.23,28.2
CPA49,Antennaria_parvifolia,0.95,35.9
CPA49,Artemisia_campestris,0.53,30.8
CPA49,Artemisia_frigida,7.71,100
CPA49,Artemisia_ludoviciana,0.74,59
CPA49,Astragalus_laxmannii,0.72,41
CPA49,Bouteloua_gracilis,2.64,71.8
CPA49,Campanula_rotundifolia,0.24,35.9
CPA49,Carex,4.55,94.9
CPA49,Cerastium_arvense,0.87,59
CPA49,Comandra_umbellata,0.84,66.7
CPA49,Elaeagnus_commutata,2.32,46.2
CPA49,Elymus_lanceolatus,0.64,33.3
CPA49,Elymus_trachycaulus,0.87,69.2
CPA49,Equisetum_hyemale,0.17,25.6
CPA49,Festuca_hallii,4.36,97.4
CPA49,Festuca_saximontana,1.32,61.5
CPA49,Gaillardia_aristata,0.28,25.6
CPA49,Galium_boreale,0.33,30.8
CPA49,Helictochloa_hookeri,0.72,61.5
CPA49,Hesperostipa_comata,1.99,66.7
CPA49,Hesperostipa_curtiseta,11.94,100
CPA49,Heterotheca_villosa,1.11,41
CPA49,Koeleria_macrantha,2.45,97.4
CPA49,Orthocarpus_luteus,0.14,25.6
CPA49,Oxytropis_campestris,0.73,33.3
CPA49,Pascopyrum_smithii,0.71,25.6
CPA49,Poa_pratensis,1.34,43.6
CPA49,Potentilla_gracilis,0.45,28.2
CPA49,Pulsatilla_patens,0.44,38.5
CPA49,Rosa_arkansana,2.2,25.6
CPA49,Rosa_woodsii,2.14,64.1
CPA49,Solidago_missouriensis,0.95,82.1
CPA49,Sporobolus_rigidus,1.84,51.3
CPA49,Symphoricarpos_occidentalis,3.28,56.4
CPA49,Symphyotrichum_ericoides,0.27,20.5
CPA49,Thermopsis_rhombifolia,1.35,66.7
CPA49,Vicia_americana,0.33,41
CPA6,Achillea_millefolium,1.43,56
CPA6,Antennaria_parvifolia,2.58,36
CPA6,Artemisia_biennis,0.28,28
CPA6,Artemisia_frigida,3.62,84
CPA6,Artemisia_ludoviciana,1.35,40
CPA6,Bouteloua_gracilis,2.91,72
CPA6,Campanula_rotundifolia,0.6,44
CPA6,Carex,30.4,100
CPA6,Cerastium_arvense,0.51,48
CPA6,Comandra_umbellata,0.14,28
CPA6,Equisetum_arvense,0.38,48
CPA6,Festuca_hallii,11.62,100
CPA6,Festuca_saximontana,0.57,72
CPA6,Geum_triflorum,3.41,44
CPA6,Helictochloa_hookeri,1.4,60
CPA6,Hesperostipa_comata,0.4,40
CPA6,Hesperostipa_curtiseta,14.69,100
CPA6,Heterotheca_villosa,0.72,40
CPA6,Juncus_balticus,0.32,32
CPA6,Koeleria_macrantha,3.8,96
CPA6,Pascopyrum_smithii,1.03,24
CPA6,Pulsatilla_patens,1.67,36
CPA6,Solidago_missouriensis,2.52,68
CPA6,Sporobolus_rigidus,5.49,84
CPA6,Thermopsis_rhombifolia,1.18,28
CPC1,Achillea_millefolium,0.91,83.3
CPC1,Agrostis_scabra,2.15,83.3
CPC1,Androsace_septentrionalis,0.19,50
CPC1,Artemisia_campestris,0.69,33.3
CPC1,Artemisia_frigida,6.12,100
CPC1,Artemisia_ludoviciana,1.55,66.7
CPC1,Bouteloua_gracilis,2.54,83.3
CPC1,Campanula_rotundifolia,0.12,33.3
CPC1,Carex,6.5,83.3
CPC1,Cerastium_arvense,1.59,83.3
CPC1,Comandra_umbellata,0.4,50
CPC1,Elaeagnus_commutata,13.55,100
CPC1,Elymus_trachycaulus,1.6,100
CPC1,Equisetum_hyemale,0.22,83.3
CPC1,Erysimum_asperum,0.14,33.3
CPC1,Festuca_hallii,3.03,83.3
CPC1,Festuca_saximontana,2.37,83.3
CPC1,Galium_boreale,0.57,50
CPC1,Hesperostipa_comata,4.03,100
CPC1,Hesperostipa_curtiseta,4.8,83.3
CPC1,Heterotheca_villosa,0.78,33.3
CPC1,Koeleria_macrantha,2.55,100
CPC1,Orthocarpus_luteus,0.2,33.3
CPC1,Poa_pratensis,0.75,50
CPC1,Prunus_virginiana,3.27,66.7
CPC1,Rosa_woodsii,7.21,83.3
CPC1,Silene_parryi,0.09,33.3
CPC1,Solidago_missouriensis,2.43,83.3
CPC1,Sporobolus_rigidus,6.08,100
CPC1,Symphoricarpos_occidentalis,0.58,33.3
CPC1,Thermopsis_rhombifolia,1.06,50
CPC1,Vicia_americana,0.17,33.3
CPC21,Achillea_millefolium,1.03,90.9
CPC21,Agoseris_glauca,0.3,45.5
CPC21,Agrostis_scabra,0.26,27.3
CPC21,Amelanchier_alnifolia,1.31,27.3
CPC21,Androsace_septentrionalis,0.27,90.9
CPC21,Antennaria_parvifolia,1.48,27.3
CPC21,Artemisia_frigida,3.87,81.8
CPC21,Artemisia_ludoviciana,1.65,81.8
CPC21,Bouteloua_gracilis,1.42,36.4
CPC21,Bromus_inermis,0.1,27.3
CPC21,Campanula_rotundifolia,0.17,54.5
CPC21,Carex,7.91,90.9
CPC21,Cerastium_arvense,3.46,100
CPC21,Comandra_umbellata,0.96,36.4
CPC21,Elaeagnus_commutata,4.73,100
CPC21,Elymus_trachycaulus,3.66,100
CPC21,Equisetum_hyemale,0.24,45.5
CPC21,Festuca_hallii,1.32,45.5
CPC21,Festuca_saximontana,1.53,81.8
CPC21,Galium_boreale,0.95,54.5
CPC21,Hesperostipa_comata,3.44,100
CPC21,Hesperostipa_curtiseta,5.15,63.6
CPC21,Juncus_balticus,0.12,27.3
CPC21,Juniperus_horizontalis,2.26,27.3
CPC21,Koeleria_macrantha,3.28,100
CPC21,Lithospermum_incisum,0.35,36.4
CPC21,Orthocarpus_luteus,0.07,27.3
CPC21,Poa_interior,0.1,27.3
CPC21,Poa_pratensis,9.29,100
CPC21,Populus_tremuloides,1.36,36.4
CPC21,Prunus_virginiana,2.19,36.4
CPC21,Rosa_woodsii,6.71,100
CPC21,Solidago_missouriensis,2.09,72.7
CPC21,Sporobolus_rigidus,1.04,81.8
CPC21,Stellaria_longifolia,0.12,27.3
CPC21,Symphoricarpos_occidentalis,11.81,100
CPC21,Symphyotrichum_laeve,0.33,27.3
CPC21,Taraxacum_officinale,0.38,27.3
CPC21,Thermopsis_rhombifolia,0.71,63.6
CPC21,Vicia_americana,0.2,45.5
CPC21,Viola_adunca,0.28,27.3
CPC29,Achillea_millefolium,0.58,44.4
CPC29,Arabis_hirsuta,0.26,22.2
CPC29,Artemisia_frigida,1.76,66.7
CPC29,Artemisia_ludoviciana,1.88,44.4
CPC29,Astragalus_laxmannii,0.31,33.3
CPC29,Bouteloua_gracilis,1.83,33.3
CPC29,Bromus_ciliatus,2.78,22.2
CPC29,Campanula_rotundifolia,0.79,55.6
CPC29,Carex_filifolia,0.28,22.2
CPC29,Carex_obtusata,0.4,44.4
CPC29,Carex_pensylvanica,5.66,55.6
CPC29,Carex_prairea,4.55,22.2
CPC29,Cerastium_arvense,0.61,55.6
CPC29,Cirsium_arvense,0.71,22.2
CPC29,Cirsium_flodmanii,0.73,44.4
CPC29,Elaeagnus_commutata,6.13,22.2
CPC29,Elymus_trachycaulus,6.17,100
CPC29,Festuca_hallii,40.49,100
CPC29,Festuca_saximontana,0.26,22.2
CPC29,Galium_boreale,0.27,33.3
CPC29,Geum_triflorum,0.61,22.2
CPC29,Helictochloa_hookeri,0.35,33.3
CPC29,Hesperostipa_curtiseta,11.22,88.9
CPC29,Koeleria_macrantha,2.38,44.4
CPC29,Muhlenbergia_cuspidata,0.92,33.3
CPC29,Poa_interior,0.82,22.2
CPC29,Poa_pratensis,3.16,66.7
CPC29,Rosa_arkansana,3.38,100
CPC29,Salix_bebbiana,1.07,55.6
CPC29,Salix_petiolaris,0.23,33.3
CPC29,Solidago_canadensis,0.77,33.3
CPC29,Solidago_missouriensis,0.4,22.2
CPC29,Solidago_simplex,0.59,22.2
CPC29,Symphoricarpos_occidentalis,22.33,100
CPC29,Symphyotrichum_falcatum,2.22,77.8
CPC29,Symphyotrichum_laeve,2.54,66.7
CPC29,Vicia_americana,0.49,55.6
CPC5,Achillea_millefolium,0.83,87.5
CPC5,Agoseris_glauca,0.2,34.4
CPC5,Agrostis_scabra,0.66,59.4
CPC5,Amelanchier_alnifolia,1.51,25
CPC5,Androsace_septentrionalis,0.2,46.9
CPC5,Artemisia_campestris,0.83,43.8
CPC5,Artemisia_frigida,4.63,93.8
CPC5,Artemisia_ludoviciana,1.98,96.9
CPC5,Bouteloua_gracilis,0.81,34.4
CPC5,Bromus_inermis,1.1,25
CPC5,Campanula_rotundifolia,0.22,56.3
CPC5,Carex,5.03,90.6
CPC5,Cerastium_arvense,1.52,78.1
CPC5,Comandra_umbellata,0.35,40.6
CPC5,Elaeagnus_commutata,8.62,100
CPC5,Elymus_trachycaulus,2.75,93.8
CPC5,Equisetum_hyemale,0.24,59.4
CPC5,Festuca_hallii,11.14,100
CPC5,Festuca_saximontana,0.51,34.4
CPC5,Galium_boreale,0.99,65.6
CPC5,Geum_triflorum,0.33,25
CPC5,Helictochloa_hookeri,0.28,34.4
CPC5,Hesperostipa_comata,2.86,43.8
CPC5,Hesperostipa_curtiseta,8.17,100
CPC5,Heterotheca_villosa,0.63,46.9
CPC5,Koeleria_macrantha,1.89,87.5
CPC5,Poa_pratensis,1.8,71.9
CPC5,Populus_tremuloides,2.2,21.9
CPC5,Prunus_virginiana,1.51,37.5
CPC5,Rosa_woodsii,7.03,90.6
CPC5,Solidago_missouriensis,1.83,96.9
CPC5,Sporobolus_rigidus,2.2,68.8
CPC5,Symphoricarpos_occidentalis,7.17,90.6
CPC5,Symphyotrichum_laeve,0.45,21.9
CPC5,Thermopsis_rhombifolia,1.4,75
CPC5,Vicia_americana,0.31,31.3
CU-LM-A,Achillea_millefolium,1.07,83.33
CU-LM-A,Agoseris_glauca,0.56,45.83
CU-LM-A,Agrostis_scabra,0.37,37.5
CU-LM-A,Allium_cernuum,0.18,25
CU-LM-A,Arnica_fulgens,0.46,29.17
CU-LM-A,Artemisia_frigida,1.74,20.83
CU-LM-A,Artemisia_ludoviciana,0.58,29.17
CU-LM-A,Calamagrostis_montanensis,0.43,20.83
CU-LM-A,Campanula_rotundifolia,0.35,50
CU-LM-A,Carex,2.45,41.67
CU-LM-A,Carex_inops,3.01,37.5
CU-LM-A,Carex_obtusata,1.07,50
CU-LM-A,Cerastium_arvense,0.38,66.67
CU-LM-A,Danthonia_intermedia,5.07,91.67
CU-LM-A,Dasiphora_fruticosa,42.6,41.67
CU-LM-A,Elymus_lanceolatus,2.1,37.5
CU-LM-A,Elymus_trachycaulus,0.81,66.67
CU-LM-A,Festuca_hallii,24.85,100
CU-LM-A,Festuca_saximontana,0.64,45.83
CU-LM-A,Fragaria_virginiana,0.32,20.83
CU-LM-A,Gaillardia_aristata,0.48,41.67
CU-LM-A,Galium_boreale,2.11,79.17
CU-LM-A,Geum_triflorum,1.03,66.67
CU-LM-A,Hedysarum_americanum,0.31,33.33
CU-LM-A,Helictochloa_hookeri,0.57,54.17
CU-LM-A,Hesperostipa_curtiseta,3.43,33.33
CU-LM-A,Heuchera_richardsonii,0.19,20.83
CU-LM-A,Juniperus_horizontalis,1.32,20.83
CU-LM-A,Koeleria_macrantha,2.65,66.67
CU-LM-A,Lathyrus_ochroleucus,0.19,20.83
CU-LM-A,Lupinus_argenteus,0.16,20.83
