"","cluster","neighbor","sil_width"
"179",2,1,0.371121061543677
"75",2,1,0.37047720229112
"1722",2,1,0.37047184488349
"806",2,1,0.370175250574302
"655",2,1,0.370089467262776
"1343",2,1,0.369754643168923
"821",2,1,0.369549113659736
"508",2,1,0.369482740707579
"281",2,1,0.369436495685411
"1678",2,1,0.369340818565325
"1064",2,1,0.368976861659381
"1112",2,1,0.36891779510814
"1102",2,1,0.368773157249883
"653",2,1,0.368590554442729
"1608",2,1,0.368585615452981
"484",2,1,0.368584919851013
"529",2,1,0.368454872430752
"574",2,1,0.368375537952156
"980",2,1,0.368229596345302
"1120",2,1,0.368119816281231
"220",2,1,0.368044961305817
"1130",2,1,0.368030648025858
"1279",2,1,0.367556356586928
"1708",2,1,0.367554510537375
"982",2,1,0.367373126846885
"335",2,1,0.367196685918597
"95",2,1,0.366997912952364
"352",2,1,0.3667223774658
"924",2,1,0.366608282173217
"1613",2,1,0.366504223079722
"1601",2,1,0.366428813675836
"1369",2,1,0.365687233705007
"1278",2,1,0.365513679422159
"1760",2,1,0.365047120577585
"169",2,1,0.364575834938217
"94",2,1,0.364394423023373
"1798",2,1,0.364227049317164
"1749",2,1,0.364204784556252
"1638",2,1,0.363961521279948
"993",2,1,0.363717101978922
"1612",2,1,0.363510196250108
"1665",2,1,0.363187487606289
"950",2,1,0.363039994079006
"211",2,1,0.36280078331977
"1269",2,1,0.362644387540034
"1039",2,1,0.362435858398383
"910",2,1,0.362123271944528
"362",2,1,0.361932095486776
"1686",2,1,0.36164660417527
"1131",2,1,0.361604137012551
"1623",2,1,0.361372133659328
"667",2,1,0.36105050991033
"842",2,1,0.361012431893911
"1384",2,1,0.36065714554041
"265",2,1,0.360562192143349
"1530",2,1,0.360168640275177
"1617",2,1,0.360089657603686
"955",2,1,0.360011128098216
"1634",2,1,0.359934795440536
"1338",2,1,0.359733869175444
"1109",2,1,0.359116075129502
"1646",2,1,0.359089682956162
"953",2,1,0.359029416795507
"909",2,1,0.358931407061797
"1099",2,1,0.35869174545047
"377",2,1,0.358682348522015
"1826",2,1,0.358674777842292
"1301",2,1,0.358655824217123
"243",2,1,0.358606028453007
"663",2,1,0.358204892034075
"918",2,1,0.358193516214204
"1404",2,1,0.357967027958796
"771",2,1,0.357028929184064
"1727",2,1,0.356938148940396
"960",2,1,0.356283535660925
"841",2,1,0.356180328402812
"827",2,1,0.356092830380027
"1118",2,1,0.355517401000854
"956",2,1,0.355334064784073
"949",2,1,0.355026029984705
"223",2,1,0.354979459483922
"244",2,1,0.354710239046789
"1004",2,1,0.354708380028689
"600",2,1,0.354137217675744
"1650",2,1,0.353992031010788
"813",2,1,0.353819771054998
"929",2,1,0.35379012955527
"1765",2,1,0.353597155047091
"1648",2,1,0.353488677159828
"1123",2,1,0.353353474727579
"809",2,1,0.352902159001368
"1565",2,1,0.352632653721816
"1753",2,1,0.352491250926712
"1061",2,1,0.352472013536425
"996",2,1,0.352390775141156
"855",2,1,0.352279817444877
"1021",2,1,0.351853229786939
"575",2,1,0.351802125003823
"1557",2,1,0.351462920041288
"938",2,1,0.35104487158949
"850",2,1,0.350755933990338
"225",2,1,0.350646474421265
"1640",2,1,0.350379019848274
"1252",2,1,0.350343063727038
"609",2,1,0.35024584440176
"1020",2,1,0.350153184720765
"987",2,1,0.350007487349561
"1734",2,1,0.349532252851192
"773",2,1,0.34944402678879
"301",2,1,0.349391688686659
"1569",2,1,0.349316876524454
"1107",2,1,0.349220520199905
"1001",2,1,0.348659660345633
"1053",2,1,0.348630399796308
"1026",2,1,0.348599919078637
"775",2,1,0.347285330055265
"1611",2,1,0.347218506371391
"602",2,1,0.347013143008427
"723",2,1,0.34673832372754
"819",2,1,0.346535108496838
"837",2,1,0.346447537839219
"1344",2,1,0.346025381445257
"1051",2,1,0.344349749787246
"112",2,1,0.344000728658155
"1116",2,1,0.342680861001635
"1667",2,1,0.342468589608499
"1361",2,1,0.341940002145885
"572",2,1,0.34162751562537
"975",2,1,0.341305108510827
"1764",2,1,0.341201795167252
"1750",2,1,0.340855169558405
"1110",2,1,0.340811617699229
"1653",2,1,0.339951283373261
"134",2,1,0.339889626898095
"224",2,1,0.339390675418395
"1762",2,1,0.339032801590332
"972",2,1,0.339027391028098
"899",2,1,0.338930366247245
"854",2,1,0.338730573101321
"1720",2,1,0.33866936269936
"1405",2,1,0.338200073384361
"1746",2,1,0.338120124611199
"1735",2,1,0.337690634629953
"1128",2,1,0.337059664360385
"685",2,1,0.336798020675043
"999",2,1,0.336605947970354
"364",2,1,0.336474244269638
"811",2,1,0.336096860843902
"1287",2,1,0.335542611422599
"651",2,1,0.335515699725338
"140",2,1,0.335045218469704
"1098",2,1,0.33503962022546
"1558",2,1,0.334772797181764
"981",2,1,0.334524642129172
"1190",2,1,0.334161759142362
"612",2,1,0.33413091289397
"1748",2,1,0.33374647899981
"1210",2,1,0.333308245441055
"822",2,1,0.333131355080843
"313",2,1,0.332693678288821
"196",2,1,0.332684920005793
"286",2,1,0.332609135470032
"358",2,1,0.33249187935821
"904",2,1,0.332254888111923
"631",2,1,0.332114374660643
"174",2,1,0.331988121351109
"1114",2,1,0.33184232069706
"961",2,1,0.331633049986861
"1346",2,1,0.330960270563946
"832",2,1,0.330919416832469
"1364",2,1,0.330738517218381
"490",2,1,0.330348162269105
"1695",2,1,0.32974928541434
"1710",2,1,0.328670009762209
"632",2,1,0.328651908407245
"939",2,1,0.328543038966389
"160",2,1,0.328206023580809
"1003",2,1,0.327740468447482
"283",2,1,0.327501021908377
"1855",2,1,0.327205188327938
"296",2,1,0.327166403047623
"760",2,1,0.327111555665667
"1703",2,1,0.326940471287752
"1721",2,1,0.326889492582021
"897",2,1,0.326806050507859
"1663",2,1,0.32623155701221
"954",2,1,0.326049558817877
"209",2,1,0.32561641951143
"1059",2,1,0.325541653111817
"1675",2,1,0.324886155871899
"920",2,1,0.324841360880078
"206",2,1,0.324205022904717
"360",2,1,0.323944775907632
"759",2,1,0.323851756227727
"2036",2,1,0.323803492541075
"1527",2,1,0.323210696608774
"1767",2,1,0.323200215122624
"1392",2,1,0.322824071309122
"1656",2,1,0.322670323307765
"1398",2,1,0.32263052194075
"1758",2,1,0.322136671980472
"976",2,1,0.321966631604966
"1544",2,1,0.321895354527394
"1204",2,1,0.321084073849692
"216",2,1,0.320999016037243
"894",2,1,0.320750393126154
"454",2,1,0.320746215812046
"1005",2,1,0.320685185198365
"1545",2,1,0.320459039908554
"820",2,1,0.320386092728273
"349",2,1,0.320356706624988
"1058",2,1,0.320039052763712
"896",2,1,0.319677388128281
"1095",2,1,0.319185410274219
"1689",2,1,0.319142321233156
"1324",2,1,0.31912874938007
"774",2,1,0.319092628879737
"199",2,1,0.318063201535418
"312",2,1,0.317451245360916
"847",2,1,0.317329280875752
"962",2,1,0.317216610908544
"1104",2,1,0.316882992690385
"1016",2,1,0.316440851104221
"1747",2,1,0.316125180478616
"76",2,1,0.315859521755958
"1044",2,1,0.315801795282982
"1726",2,1,0.315726029952135
"1097",2,1,0.315714658092656
"1714",2,1,0.3155357437568
"1717",2,1,0.315476914957031
"1669",2,1,0.315274637849252
"369",2,1,0.314415130968834
"1264",2,1,0.313996717263146
"1684",2,1,0.313666317836371
"156",2,1,0.313429027338797
"397",2,1,0.313391606366159
"237",2,1,0.312300162438708
"1604",2,1,0.311249811074819
"141",2,1,0.310725987908036
"205",2,1,0.310438041882264
"979",2,1,0.310338392174226
"191",2,1,0.310278689512574
"992",2,1,0.310230191220289
"258",2,1,0.309643696212572
"1730",2,1,0.308900972767301
"1347",2,1,0.308827009368749
"1266",2,1,0.308624129274291
"738",2,1,0.308064298477001
"648",2,1,0.308028519120843
"1590",2,1,0.307303196051063
"817",2,1,0.3064890435817
"958",2,1,0.306411519436485
"863",2,1,0.305486086282771
"921",2,1,0.305370634134318
"1575",2,1,0.303967381073864
"215",2,1,0.303014374502702
"805",2,1,0.30295547713478
"1599",2,1,0.302247502929747
"626",2,1,0.302225694759551
"1034",2,1,0.301891171110705
"1321",2,1,0.301443772569657
"1164",2,1,0.301399386506691
"1679",2,1,0.300385682418254
"1194",2,1,0.300353221030555
"1685",2,1,0.299734404926759
"1071",2,1,0.299254196330996
"1515",2,1,0.299188168943261
"650",2,1,0.299107202078442
"1676",2,1,0.297423123532038
"1280",2,1,0.297087490312345
"1647",2,1,0.29588746546957
"617",2,1,0.295852753199054
"1639",2,1,0.295837986587654
"1825",2,1,0.295527314506171
"1698",2,1,0.295405304968233
"248",2,1,0.29532028625175
"1509",2,1,0.29519292141845
"1106",2,1,0.294924993967671
"919",2,1,0.294520603550789
"1600",2,1,0.293953322074244
"965",2,1,0.293509716846873
"790",2,1,0.293361681639971
"93",2,1,0.292419205135112
"1355",2,1,0.291762519760097
"1070",2,1,0.291062712818666
"254",2,1,0.290194597177993
"1643",2,1,0.28910614763601
"994",2,1,0.289070437943472
"150",2,1,0.288772456194766
"437",2,1,0.288711922183509
"1718",2,1,0.288667458997927
"422",2,1,0.288576923286885
"178",2,1,0.288071136439753
"353",2,1,0.287847808996032
"110",2,1,0.287690998238422
"1103",2,1,0.287528534954395
"1275",2,1,0.286312485516957
"151",2,1,0.286297319473022
"1408",2,1,0.285917509219033
"1556",2,1,0.285760596409232
"1605",2,1,0.285753049863321
"974",2,1,0.285107949881784
"1274",2,1,0.285074998435951
"1586",2,1,0.28485327157042
"373",2,1,0.284782698449756
"963",2,1,0.284499947518905
"1672",2,1,0.284281099562283
"80",2,1,0.284066812539238
"1093",2,1,0.284036759466022
"1092",2,1,0.284026144240937
"1111",2,1,0.283716805415808
"952",2,1,0.282911904351061
"180",2,1,0.28244899551864
"2008",2,1,0.282441175607669
"1561",2,1,0.2822327759509
"888",2,1,0.281739924445985
"907",2,1,0.281402314634011
"382",2,1,0.280738583022938
"1670",2,1,0.280403019049996
"203",2,1,0.280289054088776
"261",2,1,0.280033457312931
"1183",2,1,0.279824069960831
"638",2,1,0.279489414539367
"267",2,1,0.279361071250899
"1828",2,1,0.279093488255143
"1336",2,1,0.278952890846178
"247",2,1,0.278921912539648
"238",2,1,0.278201307660996
"1359",2,1,0.278036944605016
"77",2,1,0.276974394337421
"1810",2,1,0.274993817782354
"1766",2,1,0.274673856405099
"829",2,1,0.27338384585967
"1733",2,1,0.273007953464097
"1594",2,1,0.273000102152609
"977",2,1,0.272921248778919
"1081",2,1,0.272918403579243
"1033",2,1,0.271145227449165
"256",2,1,0.270619065389279
"1827",2,1,0.270462714186563
"506",2,1,0.270120021772085
"1105",2,1,0.269435366497785
"446",2,1,0.268874981356067
"235",2,1,0.268735029733794
"239",2,1,0.268656198871971
"991",2,1,0.267621436290054
"88",2,1,0.267584293793174
"1660",2,1,0.266734336445137
"937",2,1,0.266097604713791
"1129",2,1,0.265773075670525
"973",2,1,0.265680250395123
"1268",2,1,0.264944239907025
"1010",2,1,0.26439649713688
"895",2,1,0.264038564120534
"1036",2,1,0.263229855181983
"1803",2,1,0.262717353214568
"1820",2,1,0.262574912823667
"1668",2,1,0.262124144694192
"1824",2,1,0.261505568374053
"906",2,1,0.26029331396152
"1290",2,1,0.260144477214163
"1687",2,1,0.258209694061521
"401",2,1,0.257927775595145
"1323",2,1,0.257806152657675
"478",2,1,0.257763334685026
"1694",2,1,0.257710365662811
"1312",2,1,0.257427483585055
"1518",2,1,0.256339837728214
"1723",2,1,0.256277693234975
"354",2,1,0.255896997197833
"1531",2,1,0.255602133146557
"89",2,1,0.255418534025837
"914",2,1,0.255118398540517
"1272",2,1,0.254936319905361
"374",2,1,0.254115634609436
"1158",2,1,0.253643372812187
"1823",2,1,0.252812031944904
"898",2,1,0.252671902081937
"389",2,1,0.252504713933824
"165",2,1,0.252325309505168
"1169",2,1,0.252195965384968
"1042",2,1,0.251936793825434
"55",2,1,0.250667835327044
"1040",2,1,0.250086615198418
"158",2,1,0.249986113921603
"60",2,1,0.249826097197382
"1732",2,1,0.248920644123502
"730",2,1,0.247907672933541
"86",2,1,0.247715622803289
"1017",2,1,0.247639107891249
"1167",2,1,0.247223125104497
"876",2,1,0.245846906708202
"971",2,1,0.245703174316953
"1520",2,1,0.245474991796991
"1693",2,1,0.24526582181931
"1582",2,1,0.24509716327069
"113",2,1,0.245071754026275
"184",2,1,0.244662927640335
"90",2,1,0.244638080106717
"1191",2,1,0.244510060465252
"880",2,1,0.243270927485795
"264",2,1,0.242557486493728
"482",2,1,0.242165331597137
"98",2,1,0.242021690294172
"153",2,1,0.241367816999173
"951",2,1,0.240503047903878
"867",2,1,0.240133724630688
"905",2,1,0.240065733229255
"2001",2,1,0.239393332405348
"530",2,1,0.239344503379776
"540",2,1,0.239103244708933
"645",2,1,0.238372561793207
"1223",2,1,0.237623594017686
"2003",2,1,0.237612057499389
"1666",2,1,0.23760693036105
"700",2,1,0.237355542395544
"181",2,1,0.235839219642495
"485",2,1,0.235608764974232
"73",2,1,0.235175473402723
"1188",2,1,0.234384942895633
"2022",2,1,0.234366966310057
"84",2,1,0.23384194011821
"51",2,1,0.233742500887708
"259",2,1,0.23372644281165
"1837",2,1,0.232477659119896
"52",2,1,0.232268705603824
"365",2,1,0.231619597373466
"116",2,1,0.230545621671456
"851",2,1,0.230543794288814
"957",2,1,0.230506610425939
"175",2,1,0.230287857523826
"1806",2,1,0.228970746213878
"1425",2,1,0.226012062926354
"697",2,1,0.226009706897946
"1953",2,1,0.225920815760137
"295",2,1,0.22591144160532
"350",2,1,0.225061094926831
"988",2,1,0.225015112876448
"501",2,1,0.223587726487295
"1739",2,1,0.222370987198173
"1409",2,1,0.221999571090689
"250",2,1,0.221997253720002
"917",2,1,0.220377729552029
"984",2,1,0.219628049303314
"1997",2,1,0.218501222832142
"554",2,1,0.218083796941513
"245",2,1,0.217635340762205
"1988",2,1,0.217174264913585
"649",2,1,0.217141087666934
"1976",2,1,0.214643048846023
"128",2,1,0.213323443440877
"538",2,1,0.213306834220863
"145",2,1,0.212564573646913
"127",2,1,0.211828109824176
"900",2,1,0.211525452985636
"200",2,1,0.211263677934112
"408",2,1,0.210126306779337
"1534",2,1,0.209929153211379
"1063",2,1,0.209565482611204
"1805",2,1,0.208957195725667
"138",2,1,0.208659190890525
"418",2,1,0.208222678114752
"1934",2,1,0.206900071842426
"967",2,1,0.206242675709957
"74",2,1,0.206175466918331
"852",2,1,0.206135397437619
"710",2,1,0.204629937489776
"647",2,1,0.203437851013548
"646",2,1,0.202913727767046
"280",2,1,0.202431924654998
"152",2,1,0.200564893956587
"82",2,1,0.200445210069137
"464",2,1,0.200343242775758
"990",2,1,0.200339620648212
"323",2,1,0.200230414902542
"1576",2,1,0.200219204331784
"764",2,1,0.200034780857983
"269",2,1,0.19984188006543
"450",2,1,0.198958063278156
"1374",2,1,0.198124677328634
"2014",2,1,0.197477780956241
"794",2,1,0.197332029070636
"221",2,1,0.197201533554135
"188",2,1,0.196559268926114
"497",2,1,0.196397980920611
"1096",2,1,0.196224920440119
"892",2,1,0.196033234778262
"83",2,1,0.195791191334246
"54",2,1,0.195138564401235
"884",2,1,0.194972225399895
"163",2,1,0.194599283469821
"1271",2,1,0.192856481044554
"342",2,1,0.192394765201934
"1673",2,1,0.190215193317682
"1516",2,1,0.188951124836469
"1014",2,1,0.188730716773472
"845",2,1,0.187191085734835
"1449",2,1,0.187060055646293
"1052",2,1,0.186829670218882
"1852",2,1,0.186597140602815
"1448",2,1,0.184409624987756
"1901",2,1,0.183847078201737
"270",2,1,0.183748886405726
"1500",2,1,0.183121123833322
"783",2,1,0.179406596894349
"902",2,1,0.177742873718125
"1987",2,1,0.176912157543871
"2021",2,1,0.176586357789844
"711",2,1,0.176276205478084
"969",2,1,0.176140875917122
"210",2,1,0.174501265033207
"543",2,1,0.174365998249791
"2013",2,1,0.17395205654213
"1800",2,1,0.173644898772277
"1412",2,1,0.173477248406384
"431",2,1,0.173436942941483
"305",2,1,0.173238398743091
"1502",2,1,0.172815330553464
"1692",2,1,0.172446983426374
"1560",2,1,0.171787159120295
"1580",2,1,0.171238415324392
"1495",2,1,0.170699712843939
"901",2,1,0.170440349727928
"1267",2,1,0.170409359565666
"547",2,1,0.169881440429866
"173",2,1,0.166368743021776
"395",2,1,0.165122127144586
"889",2,1,0.164651108692353
"535",2,1,0.163489328869698
"1011",2,1,0.161595619397045
"925",2,1,0.160720136605105
"1308",2,1,0.15879630719962
"539",2,1,0.158469164237253
"118",2,1,0.156918641082232
"1506",2,1,0.155944270122762
"1305",2,1,0.155797943754013
"788",2,1,0.15448830047719
"1526",2,1,0.153878039197063
"240",2,1,0.153294212531788
"1340",2,1,0.151906172049556
"587",2,1,0.150193713430401
"1967",2,1,0.149408639451168
"292",2,1,0.148191274983607
"877",2,1,0.147896305676476
"1662",2,1,0.147603270349903
"780",2,1,0.146180122965217
"1532",2,1,0.146055827280025
"1894",2,1,0.14427057731014
"1168",2,1,0.141324825208646
"778",2,1,0.140941135175888
"380",2,1,0.140504894489902
"207",2,1,0.139861258327931
"415",2,1,0.138476833308283
"989",2,1,0.138338591246876
"262",2,1,0.13815101643667
"242",2,1,0.13797359263373
"449",2,1,0.137927542680849
"436",2,1,0.136946585138671
"1299",2,1,0.136765713636519
"1375",2,1,0.136733950578536
"517",2,1,0.136259780589414
"488",2,1,0.135762222435231
"883",2,1,0.134763563074134
"379",2,1,0.134726746998825
"476",2,1,0.133068384666521
"356",2,1,0.131615701158164
"1512",2,1,0.130001905821248
"789",2,1,0.129375859033574
"1697",2,1,0.128683782289304
"911",2,1,0.127852246496733
"1809",2,1,0.125431493320264
"137",2,1,0.125330405924951
"1780",2,1,0.125255962088782
"1350",2,1,0.124388219800241
"99",2,1,0.123365634883996
"168",2,1,0.118640307807469
"946",2,1,0.117364574359674
"1062",2,1,0.116325431473364
"1581",2,1,0.115857771093486
"757",2,1,0.11551291260885
"890",2,1,0.115457798053079
"1162",2,1,0.113216754794468
"736",2,1,0.113186175571017
"527",2,1,0.112503212592844
"1808",2,1,0.110941466597574
"355",2,1,0.110635405904661
"1763",2,1,0.110515236299349
"1195",2,1,0.110322002769928
"1781",2,1,0.108958224702096
"1277",2,1,0.10872317237021
"2033",2,1,0.107760103110772
"1499",2,1,0.107495858465792
"1625",2,1,0.107144303118148
"337",2,1,0.106909362475523
"515",2,1,0.10634598572027
"1434",2,1,0.105917959111262
"491",2,1,0.10183335365194
"457",2,1,0.101277107171286
"407",2,1,0.100565239757857
"1842",2,1,0.099865838135019
"1013",2,1,0.0987766273774681
"1443",2,1,0.0961392403147093
"2009",2,1,0.0938531554130677
"500",2,1,0.0931076829584351
"915",2,1,0.0912791040402718
"1354",2,1,0.0901660312497843
"284",2,1,0.0894572335862325
"1151",2,1,0.0893947593890388
"941",2,1,0.0885676239414123
"1971",2,1,0.0873870224420729
"1745",2,1,0.0868338177590637
"322",2,1,0.0867450506183189
"1383",2,1,0.0851134573773412
"273",2,1,0.0836356125769701
"1900",2,1,0.0819866372635318
"985",2,1,0.08057121308618
"1160",2,1,0.0783526127534558
"56",2,1,0.0778718237816749
"1196",2,1,0.0776404169092593
"1513",2,1,0.0774570782858492
"69",2,1,0.07665860439232
"1931",2,1,0.076645140204806
"1023",2,1,0.0763317947920784
"1149",2,1,0.0762947682106951
"1902",2,1,0.0734035759770499
"400",2,1,0.0707653629560602
"916",2,1,0.0684152210141951
"1430",2,1,0.0672023681940442
"552",2,1,0.0666749845427538
"1578",2,1,0.0643886578721201
"586",2,1,0.0619591694440317
"159",2,1,0.0606345868075984
"1498",2,1,0.0590006486880413
"1949",2,1,0.0557292161657168
"1501",2,1,0.0541099709527465
"1019",2,1,0.0536521445819306
"1939",2,1,0.0529371040809428
"1588",2,1,0.0519372970085661
"1921",2,1,0.0508423593372656
"1265",2,1,0.0507701541526926
"68",2,1,0.0503237378726092
"1471",2,1,0.0492752650036001
"447",2,1,0.0484676025047707
"1431",2,1,0.0480385583925653
"1524",2,1,0.0472841048883551
"130",2,1,0.0471991164675483
"606",2,1,0.0437174373980692
"438",2,1,0.0430536269511369
"1198",2,1,0.0415612557030488
"2004",2,1,0.0395431452459268
"1371",2,1,0.0393236361566218
"1773",2,1,0.0380951344440067
"120",2,1,0.038004536575474
"1543",2,1,0.0368172755146625
"550",2,1,0.0356982492402159
"1893",2,1,0.0347629119805073
"1227",2,1,0.0331949438422401
"1774",2,1,0.0324093311246239
"63",2,1,0.0250020303310022
"453",2,1,0.023101470909185
"442",2,1,0.0136045166381318
"308",2,1,0.00685177944480797
"1744",2,1,0.00212949704500787
"426",2,1,0.000106861525748903
"1736",2,1,-0.00749004773870565
"1951",2,1,-0.0120227243727101
"968",2,1,-0.021615324339036
"1779",2,1,-0.0241686245854291
"432",2,1,-0.0308028347437037
"1212",2,1,-0.033110557942356
"1776",2,1,-0.0386683371708566
"1770",2,1,-0.0398710688252255
"417",2,1,-0.0454212609208849
"1778",2,1,-0.0487147238501513
"404",2,1,-0.050298722107204
